Title,Date,Score,Review,Label,Game_Group
the-legend-of-zelda-breath-of-the-wild,2017-03-04,3,"Overhyped. No feature or mechanic in this game isn't a rip from the myriad of open world action RPGs that most Nintendo fanboys would mock years ago. Now the same outdated mechanics are given a Zelda skin and it's a new chapter in video games? Much like the newest Metal Gear, or FFXV, this will get great reviews at first, and when people really play it the truth will be known. Everyone loved the Star Wars Prequels, until they didn't. Terrible voice acting as well, shouldn't have even bothered for the cutscenes. i was bored of this after only a few hours.",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2021-03-15,3,"One of the most boring and longwinded games I've played. I was excited to play it with the hype surrounding it, but was massively disappointed.
I genuinely belive the only people who enjoy this game are people who have never played any other game before. It takes all the worst aspects from open world games and combines it into one game.",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2023-05-02,0,"This game doesnt really need an introduction, and really was the first game to open my eyes to open world games. it has amazing art, fun combat and hits the post apocaliptic genre perfectly. im writing this review ten days before TOTK and I cant wait, there are som issues that the game has, such as the lack of boss variety, so if I could I would give it an 8.5. all in all if you have a switch then you have to play this game.",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2023-05-11,0,Absolutely unplayable on the switch.  Game has tons of bugs ans crashes randomly. Also the game looks like a ps2 game. It's 2023 and we are playing 2 generations behind??? What are we doing here! This game is basically a bugged DLC. Unnacceptable.,-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2017-03-07,1,too much water Don't believe the hype. The world feels empty and unfinished like an early access game. Framerates are horrid on docked mode. I don ind low framerates but the random constant swings are too noticable. Looks like a ps3 era game so why is it so laggy?,-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2025-07-26,3,"Overrated game, I didn't see any innovation in mechanics, story and graphics, I believe the high score is due to the nostalgia and fan club of the brand",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2023-09-01,0,"Gráficos datados, Jogo repetitivo, mundo aberto vazio e extremamente chato. História rasa a cheia de furos.",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2017-03-04,1,"THIS GAME IS NOT PERFECT

It is insanity to me that people can play this game and give it a perfect 10/10 score when the most important element a video game should have is missing: FUN
Simply put, this game is not fun. It is beautiful, it is breathtaking, it is large. Beyond large. So large it is breathtaking. But it is not fun.
As a die hard Zelda fan since birth it baffles me that people are too blindsided by the massiveness of the world in this game to see how bland and obnoxiously tedious every second of the game is. Let me explain why this game broke my heart into a million different pieces which I won't be able to pick up off the floor because this game no longer features heart pieces.

- Initial reaction:
Breath of the Wild was made for the Wii U. The concept of having the wii motion plus as a swinging sword in Skyward Sword was swapped for the concept of having a gamepad in front of you to act as your menu, your map, and to feature inventive ways of using items throughout the game. All of this was utilized when Nintendo designed Wind Waker HD for the Wii U. And all of this was scrapped for Breath of the Wild when Nintendo decided to have it released alongside the Nintendo Switch which doesn't offer a touch screen gamepad. So we were forced to wait an extra year and a half for a game to be dumbed down from it's original design. Within the first 5 minutes of playing this struck me as a huge let down but I knew the game would be so epic this major set back wouldn't matter. I was wrong.

- Gameplay:
Nearly every tried and true mechanic from the Zelda genre has been swapped out to fit what Nintendo clearly thinks of as ""Mature"" gaming mechanics. Instead of having a sword and shield you can upgrade you now have a plethora of weapons to loot off enemies which break after a very short usage... It's like being punished for playing the game. Even the Master Sword breaks.
Link runs along with a stamina bar like he did in Skyward Sword. In fact he plays much like the Link in Skyward Sword except he's now in a world 800x the size meaning he is unbearably slow. Like snail dragging in quick sand kind of slow. The world is massive and you want to be able to scale every mountain, which you are forced to do at an unbelievably slow pace. The world also is not fun to explore. It's pretty to explore, but there is nothing to do that is actually fun because fighting, traveling, and item usage are all boring.

+ Graphics:
Amazing. It's beautiful and there are no load times for anything. However there is a constant stutter and frame rate whenever you're around moving objects... Like grass. Grass is everywhere, by the way. So the game almost feels like a Sega Saturn game and the disc is skipping. Again, HOW can you give a game a perfect score when it just IS NOT PERFECT!?

- Sound:
The absolute worst feature of the game. Did they even make a score to this game? There seems to be a slight patter of piano in the distance behind you which plays softly among the never ending clatter of your weapon hitting your shield. The painful sound of Link walking is only comparable to water boarding. They added voice actors which is cool except the American actors sound extremely cheesy and amateur and there is no switching to Japanese voice acting, which if you've seen the Japanese trailer you know is amazing. And if you thought the sound effect of having one heart remaining in previous Zeldas was bad it's nothing compared to the sound effect of when you're near a shrine. Which is all the time.

- Overall
Speaking of shrines, there are no longer dungeons. There are shrines. 100's of them and they all have the same skin and are kind of like one puzzle you would find in a typical Zelda dungeon. You have to solve 4 of them, and then go to a goddess statue to have her give you more stamina or a heart container. YEP, there are NO heart pieces in this game! However there is an endless supply of food, materials, bugs, animals to kill, and a bunch of other things that the Zelda world did not need. There are 4 bigger shrines which are all very similar and probably the best part of the game.
In general this game is just a giant middle finger to anyone who loves Nintendo and specifically the Zelda franchise. I'm convinced these perfect score reviews are all hired interns with Nintendo to ensure their stock doesn't plummet farther than it already has. And I hate saying this about Nintendo, I honestly LOVE NINTENDO. Sadly, these reviews mean the Zelda franchise will keep these horrendous changes, so thanks to all of you who made it impossible for us to ever have another Ocarina of Time or Wind Waker!!!",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2017-03-03,0,"Bad enough that there are fps drops on the Wii U version, but having a new console release in 2017 where the fps for a game with these visuals can drop below 20 fps, hard to enjoy an amazing story and world when your eyes are constantly being disturbed which breaks immersion.",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2023-03-31,0,The best Single player ive ever seen. Great Open world. More difficult than other switch games and better than every Play station game,-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2021-05-27,0,"tarzım değil beğeneni anlarım ama 8,7 yi hak etmiyor..........................................................................................................................................................................",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2018-12-23,1,"absolute trash game , gameplay is repetetive and boring , dungeons dont really exist , instead theres only short shrines you beat in a minute , most of the game is filled with hills you cant climb if the rng decides to make it rain after it just snowed , or was sunny , or whatever other weather effect,  once it rains you are screwed , no matter if you have a climbing outfit , lots of stamina , you have to sit down for 10-20 minutes , play something else , and then come back and see if the game decided to let you continue

weapons break after a few swings , even bows , making most weapons just throw away things you collect all the time because you keep running out of them , arrows cant be farmed as much as you want , arrows enemies shoot arent obtainable after a set amount , shops dont restock once you are over a certain amount

the base game is so short it can be beaten in a few hours , theres only 4 areas , which are short , instantly throw a boss in your face and then rinse and repeat until you beat them all , or you just realize you can go straight to the final boss and it wont make a difference,  as you just have to fight the weak bosses there instead , but are able to skip the annoying stuff before them , the final boss himself is a joke as well , i had like 5 hearts and no good equipment when i first beat him",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2023-06-24,0,"Coming from someone who's favorite zelda games are OoT, Majora's Mask, and Twilight Princess this game is absolutely a mockery of them. You get most of the items to start and opening chest doesn't feel special anymore. The open world is a blank canvas with not much really to do except collect seeds and basic dialogue between npcs. They tried copying games like the elder scrolls and all that when what they should have done was settled for the open-field zones that they created long ago with OoT.",-1,Breath of the Wild
the-legend-of-zelda-breath-of-the-wild,2018-04-27,0,"- The side quest are very generic rpg quests. Nothing like The Witcher 3 's quests which would draw you down a rabbit hole of action, adventure, and feels.
- No crafting?? Only crafting is cooking food that give you boosts. Thats it.
Pros:
- The game world is beautiful. There are things to do everywhere it seems. Only gripe is that the switch cant handle it, but that's not the games fault i guess.
One of the most boring games i have played",-1,Breath of the Wild
